name,description,type,exact_mass,hc_ratio,nc_ratio,oc_ratio,pc_ratio,sc_ratio,dbe,dbe_o,Molecular.Formula
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,194.0942943,1.273,0,0.273,0,0,5,2,C11H14O3
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,206.1670653,1.571,0,0.071,0,0,4,3,C14H22O1
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,208.0946882,2,0,0.75,0,0,1,-5,C8H16O6
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,213.0425931,0.583,0.083,0.25,0,0,10,7,C12H7O3N1
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,218.1518092,2,0,0.364,0,0,1,-3,C11H22O4
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,220.1827154,1.6,0,0.067,0,0,4,3,C15H24O1
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,222.1619799,1.571,0,0.143,0,0,4,2,C14H22O2
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,230.1881947,2,0,0.231,0,0,1,-2,C13H26O3
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,240.0746215,1.2,0.2,0.5,0,0,6,1,C10H12O5N2
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,251.1521435,1.5,0.071,0.214,0,0,5,2,C14H21O3N1
