global_dataset,sampleName,coreMSname,type,date_utc_YYYYMMDD,Latitude,Longitude,depth_m,N_value,species,units,N_value2,species,units,N_value3,species,units,N_value4,species,units,P_pool,species,units,C_pool,species,units,GHG,species,units,DO_mgL,BDOC_%_mean,BDOC_sd,chla_ugL,bacterial_activity,units,Respiration_mgDO_hr_L_sediment,,,Extraction_Efficiency(%;assumed_or_measured),Instrument(t),TARGET_carbon_normalization(ugCL-1)
BEHNKE2022,X2020February20NegESI_Fen_Oe1L_0724_L_125scans_115msAccTime_SFN_done.csv.RelAbun,Behnke2022_2020February20NegESI_Fen_Oe1L_0724_i_L.corems,organic_leachate,20180724,,,,,,,,,,,,,,,,,,,,,,,,,,6.69,,,,,,,,60,21,40
BEHNKE2022,X2020February20NegESI_Fen_OiL_0724_i_100scans_165msAccTime_SFN_done.csv.RelAbun,Behnke2022_2020February20NegESI_Fen_OiL_0724_i.corems,organic_leachate,20180724,,,,,,,,,,,,,,,,,,,,,,,,,,4.26,,,,,,,,60,21,40
BEHNKE2022,X2020February20NegESI_FW_BL_0724_i_100scans_132msAccTime_done.csv.RelAbun,Behnke2022_2020February20NegESI_FW_BL_0724_i.corems,mineral_leachate,20180724,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,,,,60,21,40
BEHNKE2022,X2020February20NegESI_FW_OaL_0724_i_100scans_132msAccTime_trunc_done.csv.RelAbun,Behnke2022_2020February20NegESI_FW_OaL_0724_i.corems,organic_leachate,20180724,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,60,21,40
BEHNKE2022,X2020February20NegESI_FW_Oe2L_0724_i_100scans_132msAccTime_done.csv.RelAbun,Behnke2022_2020February20NegESI_FW_Oe2L_0724_i.corems,organic_leachate,20180724,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,60,21,40
BEHNKE2022,X2020February20NegESI_Up_BsL_0724_i_100scans_132msAccTime_not_truncated_done.csv.RelAbun,Behnke2022_2020February20NegESI_Up_BsL_0724_i.corems,mineral_leachate,20180724,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,,,,,,,,60,21,40
BEHNKE2022,X2020February20NegESI_Up_OiL_0724_i_100scans_132msAccTime_done.csv.RelAbun,Behnke2022_2020February20NegESI_Up_OiL_0724_i.corems,organic_leachate,20180724,,,,,,,,,,,,,,,,,,,,,,,,,,3.04,,,,,,,,60,21,40
BEHNKE2022,X2020February21NegESI_FW_Spruce_Thru_0630_i_100scans_150msAccTime_done.csv.RelAbun,Behnke2022_2020February21NegESI_FW_Spruce_Thru_0630_i.corems,throughflow,20180630,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,60,21,40
BEHNKE2022,X2020February21NegESI_Up_Hem_thru_0630_i_100scans_150msAccTime_done.csv.RelAbun,Behnke2022_2020February21NegESI_Up_Hem_thru_0630_i.corems,throughflow,20180630,,,,,,,,,,,,,,,,,,,,,,,,,,6.78,,,,,,,,60,21,40
BEHNKE2022,X2020February21NegESI_Up_Spruce_thru_0630_i_100scans_150msAccTime_done.csv.RelAbun,Behnke2022_2020February21NegESI_Up_Spruce_thru_0630_i.corems,throughflow,20180630,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,60,21,40
BEHNKE2022,X2020February22NegESI_FW_Hem_needle_L_0805_i_100scans_100msAccTime_DOM.csv.RelAbun,Behnke2022_2020February22NegESI_FW_Hem_needle_L_0805_i.corems,veg_leachate,20180508,,,,,,,,,,,,,,,,,,,,,,,,,,43.77,,,,,,,,60,21,40
BEHNKE2022,X2020February22NegESI_FW_Hem_thru_0630_i_100scans_269msAccTime_done.csv.RelAbun,Behnke2022_2020February22NegESI_FW_Hem_thru_0630_i.corems,throughflow,20180630,,,,,,,,,,,,,,,,,,,,,,,,,,9.53,,,,,,,,60,21,40
BEHNKE2022,X2020February22NegESI_FW_Spruce_bark_L_0805_i_100scans_100msAccTime_done.csv.RelAbun,Behnke2022_2020February22NegESI_FW_Spruce_bark_L_0805_i.corems,veg_leachate,20180508,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,,,,,,,60,21,40
BEHNKE2022,X2020February22NegESI_FW_spruce_needle_L_0805_i_100scans_100msAccTime_DOM.csv.RelAbun,Behnke2022_2020February22NegESI_FW_spruce_needle_L_0805_i.corems,veg_leachate,20180508,,,,,,,,,,,,,,,,,,,,,,,,,,68.67,,,,,,,,60,21,40
BEHNKE2022,X2020February22NegESI_Up_Hem_bark_L_0805_i_100scans_100msAccTime_done.csv.RelAbun,Behnke2022_2020February22NegESI_Up_Hem_bark_L_0805_i.corems,veg_leachate,20180508,,,,,,,,,,,,,,,,,,,,,,,,,,7.23,,,,,,,,60,21,40
BEHNKE2022,X2020February22NegESI_Up_hem_needle_L_0805_i_100scans_190msAccTime_DOM.csv.RelAbun,Behnke2022_2020February22NegESI_Up_hem_needle_L_0805_i.corems,veg_leachate,20180508,,,,,,,,,,,,,,,,,,,,,,,,,,51.7,,,,,,,,60,21,40
BEHNKE2022,X2020February22NegESI_Up_spruce_bark_L_0805_i_100scans_269msAccTime_done.csv.RelAbun,Behnke2022_2020February22NegESI_Up_spruce_bark_L_0805_i.corems,veg_leachate,20180508,,,,,,,,,,,,,,,,,,,,,,,,,,14.61,,,,,,,,60,21,40
BEHNKE2022,X2020February22NegESI_Up_spruce_needle_L_0805_i_100scans_190msAccTime_DOM.csv.RelAbun,Behnke2022_2020February22NegESI_Up_spruce_needle_L_0805_i.corems,veg_leachate,20180508,,,,,,,,,,,,,,,,,,,,,,,,,,59.42,,,,,,,,60,21,40
BEHNKE2022,X2020February23NegESI_Epi_L_0805_i_100scans_150msAccTime_done.csv.RelAbun,Behnke2022_2020February23NegESI_Epi_L_0805_i.corems,veg_leachate,20180508,,,,,,,,,,,,,,,,,,,,,,,,,,51.22,,,,,,,,60,21,40
BEHNKE2022,X2020February23NegESI_Rain_0630_i_100scans_150msAccTime_done.csv.RelAbun,Behnke2022_2020February23NegESI_Rain_0630_f.corems,rainwater,20180630,,,,,,,,,,,,,,,,,,,,,,,,,,21.25,,,,,,,,60,21,40
BEHNKE2022,X2020February25NegESI_FW_spruce_stem_0630_i_redo_100scans_132msAccTime_done.csv.RelAbun,Behnke2022_2020February25NegESI_FW_spruce_stem_0630_i_redo.corems,stemflow,20180630,,,,,,,,,,,,,,,,,,,,,,,,,,9.56,,,,,,,,60,21,40
BEHNKE2022,X2020February26NegESI_Up_spruce_stem_0630_i_redo2_100scans_128msAccTime_done.csv.RelAbun,Behnke2022_2020February26NegESI_Up_spruce_stem_0630_i_redo2.corems,stemflow,20180630,,,,,,,,,,,,,,,,,,,,,,,,,,11.65,,,,,,,,60,21,40
Czarnecki_Woz,RW18-001,,rainwater,20180902,,,,38.44,TDN,umolL,5.89,DON,umolL,7.82,NO3,umolL,6.81,NH4,umolL,,,,113.42,DOC,umolL,,,,,,,,,,,,,,,
Czarnecki_Woz,RW18-003,,rainwater,20180909,,,,20.52,TDN,umolL,2.71,DON,umolL,2.33,NO3,umolL,3.54,NH4,umolL,,,,90.46,DOC,umolL,,,,,,,,,,,,,,,
Czarnecki_Woz,RW18-004,,rainwater,20181027,,,,18.35,TDN,umolL,1.55,DON,umolL,1.29,NO3,umolL,0.82,NH4,umolL,,,,249.47,DOC,umolL,,,,,,,,,,,,,,,
Czarnecki_Woz,RW18-005,,rainwater,20180922,,,,29.36,TDN,umolL,0.9,DON,umolL,1.65,NO3,umolL,1.59,NH4,umolL,,,,92.35,DOC,umolL,,,,,,,,,,,,,,,
Czarnecki_Woz,RW18-009,,rainwater,20180918,,,,8.58,TDN,umolL,3.71,DON,umolL,9.45,NO3,umolL,16.21,NH4,umolL,,,,194.23,DOC,umolL,,,,,,,,,,,,,,,
Czarnecki_Woz,RW18-020,,rainwater,20181103,,,,3.66,TDN,umolL,2.42,DON,umolL,10.78,NO3,umolL,4.76,NH4,umolL,,,,141.69,DOC,umolL,,,,,,,,,,,,,,,
Czarnecki_Woz,RW18-025,,rainwater,20181011,,,,4.14,TDN,umolL,3.31,DON,umolL,10.12,NO3,umolL,4.92,NH4,umolL,,,,196.53,DOC,umolL,,,,,,,,,,,,,,,
