"sample","median_delGcox","median_delGd","median_lambda"
"Behnke2022_2020February20NegESI_Fen_Oe1L_0724_i_L.corems",-138.427958289274,-3184.88429914013,0.0416127651610432
"Behnke2022_2020February20NegESI_Fen_OiL_0724_i.corems",-138.46650167936,-2883.03817887746,0.0456538777868627
"Behnke2022_2020February20NegESI_FW_BL_0724_i.corems",-137.178448105068,-2846.11898029241,0.0470297019407553
"Behnke2022_2020February20NegESI_FW_OaL_0724_i.corems",-137.99130150447,-3234.74586558791,0.0408886875901538
"Behnke2022_2020February20NegESI_FW_Oe2L_0724_i.corems",-138.32383244059,-3076.20739565358,0.0434553668030793
"Behnke2022_2020February20NegESI_Up_BsL_0724_i.corems",-138.518468951734,-2577.14586558791,0.0520159564513039
"Behnke2022_2020February20NegESI_Up_OiL_0724_i.corems",-139.469216776112,-2764.45355229835,0.0479089819003429
"Behnke2022_2020February21NegESI_FW_Spruce_Thru_0630_i.corems",-141.187293279395,-3601.26885295503,0.0361746348375329
"Behnke2022_2020February21NegESI_Up_Hem_thru_0630_i.corems",-140.51047526295,-3625.18808792219,0.0361184054758396
"Behnke2022_2020February21NegESI_Up_Spruce_thru_0630_i.corems",-140.674884497714,-3578.36116624458,0.0363976497120894
"Behnke2022_2020February22NegESI_FW_Hem_needle_L_0805_i.corems",-141.231346523069,-3649.10732288936,0.0356199057522984
"Behnke2022_2020February22NegESI_FW_Hem_thru_0630_i.corems",-140.38552424453,-3297.39963617891,0.0392240161728165
"Behnke2022_2020February22NegESI_FW_Spruce_bark_L_0805_i.corems",-140.185081985813,-3438.89194946847,0.0379357427819877
"Behnke2022_2020February22NegESI_FW_spruce_needle_L_0805_i.corems",-140.900947195515,-3763.64575644158,0.0350917144223092
"Behnke2022_2020February22NegESI_Up_Hem_bark_L_0805_i.corems",-140.142972267596,-3438.89194946847,0.0375183840221171
"Behnke2022_2020February22NegESI_Up_hem_needle_L_0805_i.corems",-139.469216776112,-3626.19963617891,0.0371072881657167
"Behnke2022_2020February22NegESI_Up_spruce_bark_L_0805_i.corems",-140.816727759079,-3395.09967256102,0.0381262356853152
"Behnke2022_2020February22NegESI_Up_spruce_needle_L_0805_i.corems",-141.432732779864,-3461.79963617891,0.0371072881657167
"Behnke2022_2020February23NegESI_Epi_L_0805_i.corems",-140.259137007507,-3692.8995997968,0.0357539459076838
"Behnke2022_2020February23NegESI_FW_Hem_bark_L_0805_i.corems",-140.105541406958,-3442.93814249536,0.0376324982007127
"Behnke2022_2020February23NegESI_Rain_0630_f.corems",-145.577933232231,-2160.76131177302,0.055620991992747
"Behnke2022_2020February25NegESI_FW_spruce_stem_0630_i_redo.corems",-140.38552424453,-2965.50739565358,0.0436948646973359
"Behnke2022_2020February26NegESI_Up_spruce_stem_0630_i_redo2.corems",-140.534601566411,-2881.01508236402,0.0453656029312374
"Drake2019_DRC_S10.corems",-138.037486356709,-3282.37657604758,0.0405614787436156
"Drake2019_DRC_S11.corems",-137.832953439652,-3324.35351591625,0.0401464500856212
"Drake2019_DRC_S13.corems",-137.05146561974,-3213.65351591625,0.0419381917651657
"Drake2019_DRC_S14.corems",-137.99130150447,-3286.42276907447,0.0405439742668005
"Drake2019_DRC_S17.corems",-140.741866037803,-3255.63045578491,0.0395809082919114
"Drake2019_DRC_S19.corems",-138.432037331336,-3244.07273269236,0.0408553195564995
"Drake2019_DRC_S5.corems",-139.469216776112,-3314.44579282369,0.0395755630262427
"Drake2019_DRC_S6.corems",-139.703677978739,-3267.35351591625,0.0403466369997228
"Drake2019_DRC_S7.corems",-137.636601839276,-3251.58426275802,0.0411425287800979
"Drake2019_DRC_S9.corems",-139.214367642822,-3336.07657604758,0.0396734545264138
"ECA2_0001_01_p15.corems",-145.198459288,-2764.45355229835,0.0438259717823437
"ECA2_0001_02_p15.corems",-147.999841820556,-2666.85739565357,0.0426729970509495
"ECA2_0001_03_p15.corems",-144.786797516741,-2934.71508236402,0.0410591890944505
"ECA2_0001_04_p15.corems",-144.859260707981,-2749.43049216702,0.0437277467197783
"ECA2_0001_05_p15.corems",-146.206771690949,-2571.28433552224,0.0464071903540002
"ECA2_0001_06_p15.corems",-143.453162290972,-2678.68433552224,0.0460303872167035
"ECA2_0001_07_p15.corems",-143.287164561186,-2699.56892571924,0.0459131416497877
"ECA2_0001_08_p15.corems",-144.225194835967,-2755.93047397597,0.0439828751733889
"ECA2_0001_09_p15.corems",-144.378006785493,-2720.66127539091,0.04456058906235
"ECA2_0001_10_p15.corems",-142.218139181365,-2640.75358868046,0.0480164587772161
"ECA2_0002_01_p1.corems",-144.559813822878,-3003.43814249536,0.0404097737536415
"ECA2_0002_02_p08.corems",-141.880552219317,-2839.14202223269,0.0448690176977773
"ECA2_0002_03_p08.corems",-142.332677614918,-2987.13431733119,0.042321370464914
"ECA2_0002_04_p08.corems",-141.267292824619,-2743.56896210135,0.0470692664120169
"ECA2_0002_05_p08.corems",-142.759730903775,-2952.77278726552,0.0425737153015831
"ECA2_0002_06_p08.corems",-142.332677614918,-2930.8766488118,0.0435064677478912
"ECA2_0002_07_p08.corems",-142.457175912257,-2951.7612390088,0.0429150781518933
"ECA2_0002_08_p08.corems",-141.524160831549,-2927.84200404163,0.0439504617650766
"ECA2_0002_09_p08.corems",-141.819442855831,-2905.94586558791,0.0439658610883338
"ECA2_0002_10_p08.corems",-141.759985447157,-2898.0612390088,0.0440788922184756
"ECA2_0003_01_p1.corems",-144.605187346041,-2949.73814249536,0.0407051218021528
"ECA2_0003_02_p1.corems",-144.378006785493,-2795.24586558791,0.0434479342337295
"ECA2_0003_03_p1.corems",-144.20873816448,-2858.10739565358,0.0426338959349211
"ECA2_0003_04_p1.corems",-144.050754118201,-2739.52276907447,0.0440340382289253
"ECA2_0003_05_p1.corems",-144.559813822878,-2858.10739565358,0.0422056505771814
"ECA2_0003_06_p1.corems",-144.050754118201,-2975.68047397597,0.0416376992967652
"ECA2_0003_07_p1.corems",-144.378006785493,-2881.01508236402,0.0422056505771814
"ECA2_0003_08_p1.corems",-143.844565642285,-2926.83045578491,0.0422722102775766
"ECA2_0003_09_p1.corems",-144.092044206058,-2878.99198585058,0.0425443651028395
"ECA2_0003_10_p1.corems",-144.559813822878,-2883.03817887746,0.0422252573575341
"ECA2_0005_01_p1.corems",-143.737894508035,-2930.8766488118,0.0422252573575341
"ECA2_0005_02_p1.corems",-143.634250723466,-2842.7112390088,0.0437113057085571
"ECA2_0005_03_p1.corems",-144.485881926858,-2934.71508236402,0.0411425287800979
"ECA2_0005_04_p1.corems",-145.489214957007,-2128.15366144468,0.0576251387296104
"ECA2_0005_05_p1.corems",-143.620939659488,-2878.99198585058,0.0436883556247607
"ECA2_0005_06_p1.corems",-144.291887662522,-2980.53045578491,0.0406417508236742
"ECA2_0005_07_p1.corems",-144.449148669687,-2918.9458292058,0.0416627241479679
"ECA2_0005_08_p1.corems",-144.923427897647,-2856.08429914013,0.0416627241479679
"ECA2_0005_09_p1.corems",-144.559813822878,-2947.71504598191,0.0417238934568584
"ECA2_0005_10_p1.corems",-144.050754118201,-2881.01508236402,0.0425016390829782
