richness,sample
5401,Behnke2022_2020February20NegESI_Fen_Oe1L_0724_i_L.corems
6977,Behnke2022_2020February20NegESI_FW_OaL_0724_i.corems
5007,Behnke2022_2020February21NegESI_FW_Spruce_Thru_0630_i.corems
5080,Behnke2022_2020February21NegESI_Up_Hem_thru_0630_i.corems
5015,Behnke2022_2020February21NegESI_Up_Spruce_thru_0630_i.corems
5009,Behnke2022_2020February22NegESI_Up_Hem_bark_L_0805_i.corems
5036,Behnke2022_2020February23NegESI_FW_Hem_bark_L_0805_i.corems
7411,Behnke2022_2020February25NegESI_FW_spruce_stem_0630_i_redo.corems
5732,Behnke2022_2020February26NegESI_Up_spruce_stem_0630_i_redo2.corems
9399,Drake2019_DRC_S10.corems
11087,Drake2019_DRC_S11.corems
8518,Drake2019_DRC_S13.corems
9447,Drake2019_DRC_S14.corems
10737,Drake2019_DRC_S17.corems
10046,Drake2019_DRC_S19.corems
11882,Drake2019_DRC_S5.corems
8577,Drake2019_DRC_S6.corems
8673,Drake2019_DRC_S7.corems
9413,Drake2019_DRC_S9.corems
1,ManyFiles_MGC1903260_FTMS_Lakes_FJ_Sweden_43_112_01_22826.corems
8196,PAPI_ESI_neg_14_De_Bay_20111108_20ppm_20120228_000001.corems
8635,PAPI_ESI_neg_14_De_Bay_20111110_20ppm_20120229_000001.corems
8513,PAPI_ESI_neg_20_De_Bay_20111107_20ppm_20120228_000001.corems
8385,PAPI_ESI_neg_20_De_Bay_20111110_20ppm_20120229_000001.corems
8414,PAPI_ESI_neg_22_De_Bay_20111107_20ppm_20120228_000001.corems
7911,PAPI_ESI_neg_24_De_Bay_20111107_20ppm_20120228_000001.corems
7316,PAPI_ESI_neg_24_De_Bay_20111109_20ppm_20120229_000001.corems
8120,PAPI_ESI_neg_26_De_Bay_20111107_20ppm_20120228_000001.corems
8194,PAPI_ESI_neg_Bay_De_Bay_20111108_20ppm_20120229_000001.corems
7435,PAPI_ESI_neg_De_Bay_20111107_20ppm_20120228_000001.corems
6908,PAPI_ESI_neg_FB_De_Bay_20111109_20ppm_20120229_000001.corems
7355,PAPI_ESI_neg_FB_De_Bay_20111110_20ppm_20120229_000001.corems
7647,PAPI_ESI_neg_Papi3_Ex1_20ppm_0305_20130717_000001.corems
6424,PAPI_ESI_neg_Papi3_Ex10_20ppm_0309_20130717_000001.corems
5658,PAPI_ESI_neg_Papi3_Ex11_20ppm_0210_20130716_000001.corems
6882,PAPI_ESI_neg_Papi3_Ex12_20ppm_0205_20130716_000001.corems
5776,PAPI_ESI_neg_Papi3_Ex13_20ppm_0317_20130717_000001.corems
6424,PAPI_ESI_neg_Papi3_Ex14_20ppm_0314_20130717_000001.corems
5827,PAPI_ESI_neg_Papi3_Ex15_20ppm_0214_20130716_000001.corems
6562,PAPI_ESI_neg_Papi3_Ex16_20ppm_0117_20130715_000001.corems
7075,PAPI_ESI_neg_Papi3_Ex17_10ppm_0118_20130715_000001.corems
8242,PAPI_ESI_neg_Papi3_Ex18_10ppm_0105_20130715_000001.corems
8743,PAPI_ESI_neg_Papi3_Ex19_20ppm_0204_20130716_000001.corems
6875,PAPI_ESI_neg_Papi3_Ex2_20ppm_0211_20130716_000001.corems
7027,PAPI_ESI_neg_Papi3_Ex20_20ppm_0217_20130716_000001.corems
6601,PAPI_ESI_neg_Papi3_Ex21_20ppm_0318_20130717_000001.corems
8779,PAPI_ESI_neg_Papi3_Ex22_20ppm_0103_20130715_000001.corems
6803,PAPI_ESI_neg_Papi3_Ex23_20ppm_0321_20130717_000001.corems
5190,PAPI_ESI_neg_Papi3_Ex24_20ppm_0115_20130715_000001.corems
8316,PAPI_ESI_neg_Papi3_Ex25_20ppm_0109_20130715_000001.corems
6744,PAPI_ESI_neg_Papi3_Ex26_10ppm_0307_20130717_000001.corems
6671,PAPI_ESI_neg_Papi3_Ex3_20ppm_0113_20130715_000001.corems
8354,PAPI_ESI_neg_Papi3_Ex4_20ppm_0403_20130718_000001.corems
6680,PAPI_ESI_neg_Papi3_Ex5_20ppm_0215_20130716_000001.corems
