sample,nosc.rao,HC.rao,OC_rao
Behnke2022_2020February20NegESI_Fen_Oe1L_0724_i_L.corems,0.144739661,0.148068182,0.151463888
Behnke2022_2020February20NegESI_Fen_OiL_0724_i.corems,0.101863918,0.104657687,0.111436862
Behnke2022_2020February20NegESI_FW_BL_0724_i.corems,0.116810998,0.116106744,0.128979864
Behnke2022_2020February20NegESI_FW_OaL_0724_i.corems,0.253452698,0.253694849,0.251786687
Behnke2022_2020February20NegESI_FW_Oe2L_0724_i.corems,0.05324683,0.056040105,0.05515127
Behnke2022_2020February20NegESI_Up_BsL_0724_i.corems,0.032470038,0.032232126,0.041085268
Behnke2022_2020February20NegESI_Up_OiL_0724_i.corems,0.060505356,0.060152133,0.069766033
Behnke2022_2020February21NegESI_FW_Spruce_Thru_0630_i.corems,0.130078756,0.128435988,0.152142864
Behnke2022_2020February21NegESI_Up_Hem_thru_0630_i.corems,0.131681592,0.131045358,0.15428427
Behnke2022_2020February21NegESI_Up_Spruce_thru_0630_i.corems,0.12760668,0.128046629,0.152074626
Behnke2022_2020February22NegESI_FW_Hem_needle_L_0805_i.corems,0.028852453,0.032394005,0.030787765
Behnke2022_2020February22NegESI_FW_Hem_thru_0630_i.corems,0.090108751,0.089249007,0.105989238
Behnke2022_2020February22NegESI_FW_Spruce_bark_L_0805_i.corems,0.08153327,0.076733852,0.092490764
Behnke2022_2020February22NegESI_FW_spruce_needle_L_0805_i.corems,0.002161194,0.003207001,0.003042682
Behnke2022_2020February22NegESI_Up_Hem_bark_L_0805_i.corems,0.136647882,0.13390774,0.15434569
Behnke2022_2020February22NegESI_Up_hem_needle_L_0805_i.corems,0.007912948,0.008685253,0.00960855
Behnke2022_2020February22NegESI_Up_spruce_bark_L_0805_i.corems,0.10126692,0.096139072,0.116502415
Behnke2022_2020February22NegESI_Up_spruce_needle_L_0805_i.corems,0.020537282,0.02736275,0.027510515
Behnke2022_2020February23NegESI_Epi_L_0805_i.corems,0.072425027,0.076043391,0.080237124
Behnke2022_2020February23NegESI_FW_Hem_bark_L_0805_i.corems,0.13719765,0.134102584,0.153314476
Behnke2022_2020February23NegESI_Rain_0630_f.corems,9.43E-07,1.09E-06,1.08E-06
Behnke2022_2020February25NegESI_FW_spruce_stem_0630_i_redo.corems,0.287774432,0.295704206,0.33802696
Behnke2022_2020February26NegESI_Up_spruce_stem_0630_i_redo2.corems,0.180873281,0.188316896,0.212424521
Drake2019_DRC_S1.corems,0,0,0
Drake2019_DRC_S10.corems,0.43907739,0.413779108,0.489427889
Drake2019_DRC_S11.corems,0.576151541,0.568883644,0.651741428
Drake2019_DRC_S12.corems,0,0,0
Drake2019_DRC_S13.corems,0.32987856,0.316720217,0.375581586
Drake2019_DRC_S14.corems,0.445799223,0.416967593,0.504574085
Drake2019_DRC_S15.corems,0,0,0
Drake2019_DRC_S16.corems,0,0,0
Drake2019_DRC_S17.corems,0.577267,0.569847624,0.6017803
Drake2019_DRC_S18.corems,0,0,0
Drake2019_DRC_S19.corems,0.466758824,0.469865848,0.513164523
Drake2019_DRC_S2.corems,0,0,0
Drake2019_DRC_S3.corems,0,0,0
Drake2019_DRC_S4.corems,0,0,0
Drake2019_DRC_S5.corems,0.682168632,0.710343344,0.755433483
Drake2019_DRC_S6.corems,0.335225897,0.329203831,0.356322515
Drake2019_DRC_S7.corems,0.365435846,0.341279825,0.41783143
Drake2019_DRC_S8.corems,0,0,0
Drake2019_DRC_S9.corems,0.396367898,0.379350225,0.436312641
ECA2_0001_01_p15.corems,0.008100879,0.00828018,0.009773818
ECA2_0001_02_p15.corems,0.005104476,0.00526641,0.006132534
ECA2_0001_03_p15.corems,0.009880356,0.009753941,0.011339534
ECA2_0001_04_p15.corems,0.010251994,0.010665456,0.011646174
ECA2_0001_05_p15.corems,0.011869977,0.012743554,0.012513236
ECA2_0001_06_p15.corems,0.028849558,0.030302532,0.030266825
ECA2_0001_07_p15.corems,0.013131949,0.013590922,0.01362695
ECA2_0001_08_p15.corems,0.012408467,0.012515855,0.013167556
ECA2_0001_09_p15.corems,0.009133704,0.009794149,0.009856033
ECA2_0001_10_p15.corems,0.012153877,0.012943932,0.012343138
ECA2_0002_01_p1.corems,0.019121932,0.017674256,0.021658179
ECA2_0002_02_p08.corems,0.029544657,0.028290828,0.029944719
ECA2_0002_03_p08.corems,0.032550762,0.031085283,0.033327595
ECA2_0002_04_p08.corems,0.013153696,0.01207777,0.013764573
ECA2_0002_05_p08.corems,0.02948856,0.028018386,0.029897234
ECA2_0002_06_p08.corems,0.028818115,0.027320156,0.029310151
ECA2_0002_07_p08.corems,0.027493679,0.026203573,0.027563678
ECA2_0002_08_p08.corems,0.035049851,0.033375715,0.035684809
ECA2_0002_09_p08.corems,0.031618015,0.029686631,0.032026152
ECA2_0002_10_p08.corems,0.031246626,0.029808368,0.031687717
ECA2_0003_01_p1.corems,0.018443916,0.017881945,0.020090569
ECA2_0003_02_p1.corems,0.012369283,0.011533769,0.013255783
ECA2_0003_03_p1.corems,0.014322104,0.01378082,0.014982993
ECA2_0003_04_p1.corems,0.00826271,0.007582778,0.009200112
ECA2_0003_05_p1.corems,0.0110158,0.010702689,0.01199385
ECA2_0003_06_p1.corems,0.021202596,0.020388102,0.022145022
ECA2_0003_07_p1.corems,0.014670192,0.013777373,0.016142763
ECA2_0003_08_p1.corems,0.01604561,0.015947642,0.01654971
ECA2_0003_09_p1.corems,0.018908771,0.018524834,0.020241231
ECA2_0003_10_p1.corems,0.011256286,0.011108687,0.012099273
ECA2_0005_01_p1.corems,0.020525076,0.020513161,0.02208715
ECA2_0005_02_p1.corems,0.01555148,0.01586022,0.01592931
ECA2_0005_03_p1.corems,0.01259316,0.012183971,0.013659007
ECA2_0005_04_p1.corems,0.000535775,0.000558842,0.000570827
ECA2_0005_05_p1.corems,0.016408196,0.016462104,0.017261905
ECA2_0005_06_p1.corems,0.017171709,0.016328985,0.019221784
ECA2_0005_07_p1.corems,0.010392663,0.009911798,0.011381289
ECA2_0005_08_p1.corems,0.005635243,0.005048179,0.006510853
ECA2_0005_09_p1.corems,0.013922134,0.013579599,0.015049661
ECA2_0005_10_p1.corems,0.013195526,0.01331719,0.014099669
ECA2_0006_01_p1.corems,0.034328734,0.035594913,0.035125988
ECA2_0006_02_p1.corems,0.032538403,0.033423688,0.034349309
ECA2_0006_03_p1.corems,0.005962651,0.006568323,0.005795926
ECA2_0006_04_p1.corems,0.03028093,0.032667056,0.03080495
ECA2_0006_05_p1.corems,0.03447043,0.036273024,0.03508886
ECA2_0006_06_p1.corems,0.030793477,0.033294089,0.031215215
ECA2_0006_07_p1.corems,0.02908603,0.030683708,0.030611985
ECA2_0006_09_p1.corems,0.033575322,0.035671426,0.033990223
ECA2_0006_10_p1.corems,0.031517343,0.032722852,0.032291585
ECA2_0007_01_p1.corems,0.010550798,0.010023068,0.011643892
ECA2_0007_02_p1.corems,0.01546539,0.014973734,0.017058086
ECA2_0007_03_p1.corems,0.016540533,0.015891027,0.019308248
ECA2_0007_04_p1.corems,0.019958909,0.019241562,0.022111226
ECA2_0007_05_p1.corems,0.008154401,0.007837079,0.010463324
ECA2_0007_06_p1.corems,0.00862473,0.008151032,0.010970053
ECA2_0007_07_p1.corems,0.007673296,0.006865989,0.00881111
ECA2_0007_08_p1.corems,0.017328987,0.0170364,0.01917064
ECA2_0007_09_p1.corems,0.009682852,0.009339329,0.01037255
ECA2_0007_10_p1.corems,0.008368311,0.007948502,0.009452525
ECA2_0008_01_p1.corems,0.009101825,0.008469036,0.009946891
ECA2_0008_02_p1.corems,0.004751657,0.004345497,0.005462634
ECA2_0008_03_p1.corems,0.013496289,0.013474774,0.01492756
ECA2_0008_04_p1.corems,0.010135136,0.009820357,0.011534423
ECA2_0008_05_p1.corems,0.008760565,0.00774709,0.010702319
ECA2_0008_06_p1.corems,0.009391541,0.008472841,0.011588501
ECA2_0008_07_p1.corems,0.007744061,0.006710955,0.009592038
ECA2_0008_08_p1.corems,0.007415892,0.006469376,0.008999708
ECA2_0008_09_p1.corems,0.008813715,0.00776018,0.010276787
ECA2_0008_10_p1.corems,0.009829286,0.008740291,0.011397595
ECA2_0009_01_p1.corems,0.00553466,0.004592824,0.006662689
ECA2_0009_02_p1.corems,0.005522131,0.004599758,0.006478084
ECA2_0009_03_p1.corems,0.003555951,0.003112414,0.004114023
ECA2_0009_04_p1.corems,0.007413034,0.006516691,0.008401908
ECA2_0009_05_p1.corems,0.005160362,0.00466348,0.00716308
ECA2_0009_06_p1.corems,0.009056837,0.007826433,0.010485117
ECA2_0009_07_p1.corems,0.005804679,0.004783294,0.006793214
ECA2_0009_08_p1.corems,0.006676948,0.005658168,0.008000504
ECA2_0009_09_p1.corems,0.005221127,0.004547133,0.006420617
ECA2_0009_10_p1.corems,0.005079387,0.004344811,0.00593648
ECA2_0010_01_p1.corems,0.030112938,0.030550109,0.032299329
ECA2_0010_02_p1.corems,0.028300207,0.030269561,0.029019715
ECA2_0010_03_p1.corems,0.022031089,0.023783619,0.021744257
ECA2_0010_04_p1.corems,0.025451759,0.027792551,0.025362538
ECA2_0010_05_p1.corems,0.031478221,0.033881244,0.031193609
ECA2_0010_06_p1.corems,0.023875478,0.025683735,0.023974477
ECA2_0010_07_p1.corems,0.028877567,0.029650903,0.030792982
ECA2_0010_08_p1.corems,0.026182357,0.026635446,0.029212688
ECA2_0010_09_p1.corems,0.033636981,0.034717368,0.034943083
ECA2_0010_10_p1.corems,0.017035737,0.018423372,0.017726511
ECA2_0011_01_p1.corems,0.02064138,0.020572367,0.021974761
ECA2_0011_02_p1.corems,0.020096713,0.019806787,0.021320895
ECA2_0011_03_p1.corems,0.02024202,0.020533985,0.020831569
ECA2_0011_04_p1.corems,0.020967011,0.021316922,0.021677076
ECA2_0011_05_p1.corems,0.015019527,0.014987279,0.016992875
ECA2_0011_06_p1.corems,0.024101127,0.025029408,0.023580552
ECA2_0011_07_p1.corems,0.019124471,0.019023851,0.020213008
ECA2_0011_08_p1.corems,0.018095719,0.01807853,0.019091751
ECA2_0011_09_p1.corems,0.02375925,0.024313241,0.025144168
ECA2_0011_10_p1.corems,0.014788632,0.013906819,0.015975847
ECA2_0013_01_p1.corems,0.016807691,0.016545663,0.018115629
ECA2_0013_02_p1.corems,0.014735641,0.014850108,0.015801184
ECA2_0013_03_p1.corems,0.01742814,0.017186733,0.018419126
ECA2_0013_04_p1.corems,0.014324828,0.014163245,0.015233006
ECA2_0013_05_p1.corems,0.010763018,0.010522001,0.011382303
ECA2_0013_06_p1.corems,0.020027247,0.019872566,0.020354219
ECA2_0013_07_p1.corems,0.016936547,0.016817027,0.018168378
ECA2_0013_08_p1.corems,0.014690158,0.014092161,0.016274921
ECA2_0013_09_p1.corems,0.019791394,0.019700888,0.020209897
ECA2_0013_10_p1.corems,0.016306929,0.015698779,0.017408503
ECA2_0016_01_p1.corems,0.018841476,0.019887431,0.019408013
ECA2_0016_02_p1.corems,0.010151278,0.010931388,0.010785496
ECA2_0016_03_p1.corems,0.013401413,0.014741053,0.013498075
ECA2_0016_04_p1.corems,0.013467052,0.014687781,0.014027218
ECA2_0016_05_p1.corems,0.017300826,0.018940192,0.017604873
ECA2_0016_06_p1.corems,0.014282344,0.01579324,0.014829594
ECA2_0016_07_p1.corems,0.013761738,0.015020862,0.013901418
ECA2_0016_08_p1.corems,0.017583799,0.019040633,0.017922781
ECA2_0016_09_p1.corems,0.013726435,0.015076015,0.013863835
ECA2_0016_10_p1.corems,0.012080697,0.01335695,0.01226546
ECA2_0017_01_p1.corems,0.004884198,0.004562677,0.006750468
ECA2_0017_02_p1.corems,0.00822544,0.007825092,0.011087969
ECA2_0017_03_p1.corems,0.011222759,0.010856985,0.012691675
ECA2_0017_04_p1.corems,0.007294931,0.007141222,0.009918971
ECA2_0017_05_p1.corems,0.005952391,0.005532149,0.008262579
ECA2_0017_06_p1.corems,0.003473634,0.003457184,0.003727306
ECA2_0017_07_p1.corems,0.010400671,0.01089096,0.011423638
ECA2_0017_08_p1.corems,0.005613474,0.005654583,0.006167901
ECA2_0017_09_p1.corems,0.006278589,0.005806896,0.007166946
ECA2_0017_10_p1.corems,0.00179391,0.001772613,0.002109698
ECA2_0018_01_p1.corems,0.026880539,0.028736642,0.028326476
ECA2_0018_02_p1.corems,0.026659161,0.027414642,0.028423765
ECA2_0018_03_p1.corems,0.016722392,0.017014409,0.018722211
ECA2_0018_04_p1.corems,0.024884177,0.02551379,0.026834604
ECA2_0018_05_p1.corems,0.021772949,0.022385932,0.02364916
ECA2_0018_06_p1.corems,0.023271219,0.023410669,0.025174717
ECA2_0018_07_p1.corems,0.025387393,0.026219655,0.027224347
ECA2_0018_09_p1.corems,0.01501476,0.015252333,0.017012016
ECA2_0018_10_p1.corems,0.006661442,0.007034505,0.006957552
ECA2_0019_01_p1.corems,0.015212514,0.014396839,0.016381729
ECA2_0019_02_p1.corems,0.009769304,0.009073867,0.011045343
ECA2_0019_04_p1.corems,0.016099388,0.015490993,0.017149532
ECA2_0019_05_p1.corems,0.00937321,0.009108356,0.009537933
ECA2_0019_07_p1.corems,0.009968295,0.009456018,0.01045631
ECA2_0019_08_p1.corems,0.013695597,0.013149776,0.014505605
ECA2_0019_09_p1.corems,0.006964852,0.006626348,0.007209705
ECA2_0019_10_p1.corems,0.006117251,0.005678042,0.006620959
ECA2_0021_01_p15.corems,0.006675952,0.006968276,0.00750228
ECA2_0021_02_p15.corems,0.007385923,0.008034309,0.00792105
ECA2_0021_03_p15.corems,0.006135472,0.006720643,0.006895124
ECA2_0021_04_p15.corems,0.010380932,0.011221459,0.011320528
ECA2_0021_05_p15.corems,0.006916377,0.007510262,0.008074509
ECA2_0021_06_p15.corems,0.012967374,0.013990098,0.013941879
ECA2_0021_07_p15.corems,0.021183427,0.021396776,0.024885315
ECA2_0021_08_p15.corems,0.014226311,0.014899029,0.015608452
ECA2_0021_09_p15.corems,0.012566181,0.013756618,0.013330564
ECA2_0021_10_p15.corems,0.012149163,0.012888377,0.01314931
ECA2_0022_01_p1.corems,0.018429667,0.018941518,0.02051876
ECA2_0022_02_p1.corems,0.018379915,0.018252392,0.020087604
ECA2_0022_03_p1.corems,0.019560421,0.019707971,0.020994977
ECA2_0022_04_p1.corems,0.012485993,0.013674742,0.013475858
ECA2_0022_05_p1.corems,0.013458522,0.014652165,0.014508562
ECA2_0022_06_p1.corems,0.015995504,0.017566463,0.017440289
ECA2_0022_07_p1.corems,0.017963528,0.01804738,0.020654423
ECA2_0022_08_p1.corems,0.016134057,0.016253026,0.018449942
ECA2_0022_09_p1.corems,0.029677175,0.030986148,0.031933317
ECA2_0022_10_p1.corems,0.017069044,0.017453017,0.019653685
ECA2_0023_01_p1.corems,0.00680113,0.00588653,0.007939609
ECA2_0023_02_p1.corems,0.010046972,0.009513378,0.011375606
ECA2_0023_03_p1.corems,0.004880911,0.004600869,0.006781238
ECA2_0023_05_p1.corems,0.005495297,0.005265977,0.007786727
ECA2_0023_08_p1.corems,0.010009494,0.009383164,0.011101582
ECA2_0023_09_p1.corems,0.011490063,0.011271065,0.012274349
ECA2_0023_10_p15.corems,0.005702096,0.004922494,0.006948148
ECA2_0024_01_p1.corems,0.009173166,0.008403508,0.010657516
ECA2_0024_05_p1.corems,0.008817199,0.008486642,0.009576824
ECA2_0024_06_p1.corems,0.015097558,0.014666033,0.016527848
ECA2_0024_07_p1.corems,0.012705446,0.012053506,0.013880981
ECA2_0024_08_p1.corems,0.007053915,0.006715495,0.007430819
ECA2_0024_09_p1.corems,0.009730945,0.008822443,0.011265448
ECA2_0024_10_p1.corems,0.010103939,0.008907367,0.011732146
ECA2_0026_01_p1.corems,0.029815314,0.032425673,0.029746981
ECA2_0026_02_p1.corems,0.017197929,0.017992775,0.018711717
ECA2_0026_03_p1.corems,0.01559818,0.016012004,0.016772919
ECA2_0026_04_p1.corems,0.014453528,0.014387239,0.015755991
ECA2_0026_05_p1.corems,0.016887157,0.017690005,0.018378639
ECA2_0026_06_p1.corems,0.018673456,0.019043411,0.020931063
ECA2_0026_07_p1.corems,0.018186412,0.017877209,0.020407899
ECA2_0026_08_p1.corems,0.023193271,0.02365362,0.024848266
ECA2_0026_09_p1.corems,0.019275644,0.019173818,0.02125402
ECA2_0026_10_p1.corems,0.016619023,0.016073918,0.018924403
ECA2_0027_01_p1.corems,0.018098619,0.018795715,0.01896637
ECA2_0027_02_p1.corems,0.016537337,0.016595258,0.017841165
ECA2_0027_03_p1.corems,0.013950108,0.013977495,0.01537672
ECA2_0027_04_p1.corems,0.014936123,0.014767715,0.015937914
ECA2_0027_05_p1.corems,0.012946732,0.013204855,0.013663026
ECA2_0027_06_p1.corems,0.006030752,0.005452632,0.006884758
ECA2_0027_07_p1.corems,0.007898031,0.007557246,0.008788341
ECA2_0027_08_p1.corems,0.004826957,0.004398951,0.005646096
ECA2_0027_09_p1.corems,0.014905181,0.015248742,0.015783372
ECA2_0027_10_p1.corems,0.010466859,0.010468415,0.011402404
ECA2_0028_01_p1.corems,0.015124899,0.015089217,0.016320324
ECA2_0028_02_p1.corems,0.014187927,0.014268483,0.014861915
ECA2_0028_03_p1.corems,0.015444043,0.015396373,0.016916845
ECA2_0028_04_p1.corems,0.003425269,0.003325577,0.003953641
ECA2_0028_05_p1.corems,0.01648433,0.016473708,0.017902153
ECA2_0028_06_p1.corems,0.010891234,0.010549857,0.012363661
ECA2_0028_07_p1.corems,0.005773237,0.005627345,0.006135181
ECA2_0028_08_p1.corems,0.003070777,0.002955639,0.003207899
ECA2_0028_09_p1.corems,0.010262072,0.01050486,0.010949168
ECA2_0028_10_p1.corems,0.004948201,0.004802333,0.005397541
