dist.unique,nDistance_Results,n_Sample_Peak_Mat,n_ratio
Behnke2022_2020February20NegESI_Fen_OiL_0724_i.corems,133894,4435,30.1903043968433
Behnke2022_2020February20NegESI_FW_BL_0724_i.corems,144348,4716,30.6081424936387
Behnke2022_2020February20NegESI_FW_OaL_0724_i.corems,189327,6977,27.135875017916
Behnke2022_2020February20NegESI_FW_Oe2L_0724_i.corems,102546,3303,31.0463215258856
Behnke2022_2020February20NegESI_Up_BsL_0724_i.corems,77238,2512,30.7476114649682
Behnke2022_2020February20NegESI_Up_OiL_0724_i.corems,92118,3348,27.5143369175627
Behnke2022_2020February21NegESI_FW_Spruce_Thru_0630_i.corems,134844,5007,26.9310964649491
Behnke2022_2020February21NegESI_Up_Hem_thru_0630_i.corems,134411,5080,26.4588582677165
Behnke2022_2020February21NegESI_Up_Spruce_thru_0630_i.corems,131073,5015,26.1361914257228
Behnke2022_2020February22NegESI_FW_Hem_needle_L_0805_i.corems,72726,2715,26.7867403314917
Behnke2022_2020February22NegESI_FW_Hem_thru_0630_i.corems,128623,4211,30.5445262407979
Behnke2022_2020February22NegESI_FW_Spruce_bark_L_0805_i.corems,113013,3896,29.0074435318275
Behnke2022_2020February22NegESI_FW_spruce_needle_L_0805_i.corems,11963,947,12.6325237592397
Behnke2022_2020February22NegESI_Up_Hem_bark_L_0805_i.corems,141598,5009,28.2687163106408
Behnke2022_2020February22NegESI_Up_hem_needle_L_0805_i.corems,33094,1609,20.5680546923555
Behnke2022_2020February22NegESI_Up_spruce_bark_L_0805_i.corems,119297,4283,27.8536072846136
Behnke2022_2020February22NegESI_Up_spruce_needle_L_0805_i.corems,59944,2478,24.1904761904762
Behnke2022_2020February23NegESI_Epi_L_0805_i.corems,104933,3991,26.2924079178151
Behnke2022_2020February23NegESI_FW_Hem_bark_L_0805_i.corems,142990,5036,28.3935663224782
Behnke2022_2020February23NegESI_Rain_0630_f.corems,53,19,2.78947368421053
Behnke2022_2020February25NegESI_FW_spruce_stem_0630_i_redo.corems,197660,7411,26.6711644852247
Behnke2022_2020February26NegESI_Up_spruce_stem_0630_i_redo2.corems,161178,5732,28.1189811584089
ECA2_0001_01_p15.corems,24267,1360,17.8433823529412
ECA2_0001_02_p15.corems,15299,1112,13.7580935251799
ECA2_0001_03_p15.corems,31697,1542,20.5557717250324
ECA2_0001_04_p15.corems,34184,1515,22.563696369637
ECA2_0001_05_p15.corems,33172,1576,21.0482233502538
ECA2_0001_06_p15.corems,58508,2420,24.1768595041322
ECA2_0001_07_p15.corems,39052,1647,23.7109896782028
ECA2_0001_08_p15.corems,36351,1630,22.301226993865
ECA2_0001_09_p15.corems,29252,1411,20.731396172927
ECA2_0001_10_p15.corems,42473,1621,26.2017273288094
ECA2_0002_01_p1.corems,46488,2131,21.8151102768653
ECA2_0002_02_p08.corems,62525,2560,24.423828125
ECA2_0002_03_p08.corems,60833,2686,22.6481757259866
ECA2_0002_04_p08.corems,42792,1737,24.6355785837651
ECA2_0002_05_p08.corems,57308,2542,22.5444531864673
ECA2_0002_06_p08.corems,58305,2533,23.0181602842479
ECA2_0002_07_p08.corems,56344,2475,22.7652525252525
ECA2_0002_08_p08.corems,63678,2778,22.9222462203024
ECA2_0002_09_p08.corems,61152,2631,23.2428734321551
ECA2_0002_10_p08.corems,61850,2627,23.543966501713
ECA2_0003_01_p1.corems,43106,2030,21.2344827586207
ECA2_0003_02_p1.corems,33624,1608,20.910447761194
ECA2_0003_03_p1.corems,34828,1687,20.6449318316538
ECA2_0003_04_p1.corems,26013,1345,19.3405204460967
ECA2_0003_05_p1.corems,30876,1561,19.7796284433056
ECA2_0003_06_p1.corems,44690,2108,21.2001897533207
ECA2_0003_07_p1.corems,35655,1800,19.8083333333333
ECA2_0003_08_p1.corems,39536,1840,21.4869565217391
ECA2_0003_09_p1.corems,43518,2015,21.5970223325062
ECA2_0003_10_p1.corems,34210,1603,21.3412351840299
ECA2_0005_01_p1.corems,47049,2150,21.8832558139535
ECA2_0005_02_p1.corems,39750,1848,21.5097402597403
ECA2_0005_03_p1.corems,36972,1730,21.371098265896
ECA2_0005_04_p1.corems,5194,319,16.282131661442
ECA2_0005_05_p1.corems,41174,1883,21.8661710037175
ECA2_0005_06_p1.corems,41152,2031,20.2619399310684
ECA2_0005_07_p1.corems,28809,1567,18.3848117421825
ECA2_0005_08_p1.corems,21274,1197,17.7727652464495
ECA2_0005_09_p1.corems,35018,1799,19.4652584769316
ECA2_0005_10_p1.corems,37745,1760,21.4460227272727
ECA2_0006_01_p1.corems,65020,2598,25.0269438029253
ECA2_0006_02_p1.corems,60218,2499,24.0968387354942
ECA2_0006_03_p1.corems,20682,1129,18.3188662533215
ECA2_0006_04_p1.corems,62383,2447,25.4936657131181
ECA2_0006_05_p1.corems,70285,2594,27.0952197378566
ECA2_0006_06_p1.corems,62907,2445,25.7288343558282
ECA2_0006_07_p1.corems,58054,2368,24.5160472972973
ECA2_0006_09_p1.corems,65358,2515,25.9872763419483
ECA2_0006_10_p1.corems,63010,2460,25.6138211382114
ECA2_0007_01_p1.corems,32300,1579,20.4559848005066
ECA2_0007_02_p1.corems,43575,1891,23.0433632998414
ECA2_0007_03_p1.corems,42610,1985,21.4659949622166
ECA2_0007_04_p1.corems,48719,2114,23.0458845789972
ECA2_0007_05_p1.corems,28651,1374,20.8522561863173
ECA2_0007_06_p1.corems,25808,1347,19.1596139569413
ECA2_0007_07_p1.corems,27458,1401,19.598857958601
ECA2_0007_08_p1.corems,44275,1993,22.215253386854
ECA2_0007_09_p1.corems,31453,1491,21.0952380952381
ECA2_0007_10_p1.corems,27043,1425,18.9775438596491
ECA2_0008_01_p1.corems,29810,1443,20.6583506583507
ECA2_0008_02_p1.corems,18891,1073,17.6057781919851
ECA2_0008_03_p1.corems,37921,1791,21.1730876605248
ECA2_0008_04_p1.corems,30020,1522,19.7240473061761
ECA2_0008_05_p1.corems,29110,1473,19.7623896809233
ECA2_0008_06_p1.corems,29575,1518,19.4828722002635
ECA2_0008_07_p1.corems,25750,1404,18.3404558404558
ECA2_0008_08_p1.corems,25174,1351,18.6336047372317
ECA2_0008_09_p1.corems,29354,1452,20.2162534435262
ECA2_0008_10_p1.corems,30515,1541,19.8020765736535
ECA2_0009_01_p1.corems,22328,1194,18.7001675041876
ECA2_0009_02_p1.corems,22265,1191,18.6943744752309
ECA2_0009_03_p1.corems,18070,960,18.8229166666667
ECA2_0009_04_p1.corems,26280,1338,19.6412556053812
ECA2_0009_05_p1.corems,18111,1084,16.7075645756458
ECA2_0009_06_p1.corems,28486,1503,18.9527611443779
ECA2_0009_07_p1.corems,22379,1212,18.4645214521452
ECA2_0009_08_p1.corems,25859,1295,19.9683397683398
ECA2_0009_09_p1.corems,22022,1168,18.8544520547945
ECA2_0009_10_p1.corems,21423,1145,18.7100436681223
ECA2_0010_01_p1.corems,61928,2573,24.0684026428294
ECA2_0010_02_p1.corems,68869,2423,28.4230293025175
ECA2_0010_03_p1.corems,56903,2076,27.4099229287091
ECA2_0010_04_p1.corems,63549,2245,28.3069042316258
ECA2_0010_05_p1.corems,70422,2527,27.8678274633953
ECA2_0010_06_p1.corems,64275,2202,29.1893732970027
ECA2_0010_07_p1.corems,56379,2492,22.6239967897271
ECA2_0010_08_p1.corems,53922,2422,22.2634186622626
ECA2_0010_09_p1.corems,66912,2674,25.0231862378459
ECA2_0010_10_p1.corems,50062,1878,26.6570820021299
ECA2_0011_01_p1.corems,47551,2084,22.8171785028791
ECA2_0011_02_p1.corems,45453,2050,22.1721951219512
ECA2_0011_03_p1.corems,47827,2102,22.7530922930542
ECA2_0011_04_p1.corems,48696,2120,22.9698113207547
ECA2_0011_05_p1.corems,41216,1837,22.4365813826892
ECA2_0011_06_p1.corems,54052,2226,24.2821203953279
ECA2_0011_07_p1.corems,45587,2032,22.4345472440945
ECA2_0011_08_p1.corems,45389,1976,22.9701417004049
ECA2_0011_09_p1.corems,54224,2287,23.7096633143857
ECA2_0011_10_p1.corems,37270,1800,20.7055555555556
ECA2_0013_01_p1.corems,44144,1943,22.7195059186825
ECA2_0013_02_p1.corems,41515,1777,23.3624085537423
ECA2_0013_03_p1.corems,44995,1984,22.6789314516129
ECA2_0013_04_p1.corems,40734,1809,22.5174129353234
ECA2_0013_05_p1.corems,35670,1593,22.391713747646
ECA2_0013_06_p1.corems,48509,2077,23.3553201733269
ECA2_0013_07_p1.corems,43775,1938,22.5877192982456
ECA2_0013_08_p1.corems,37781,1819,20.7702034084662
ECA2_0013_09_p1.corems,48941,2008,24.3730079681275
ECA2_0013_10_p1.corems,44346,1888,23.4883474576271
ECA2_0016_01_p1.corems,56795,2034,27.9228121927237
ECA2_0016_02_p1.corems,40993,1528,26.8278795811518
ECA2_0016_03_p1.corems,45305,1729,26.203007518797
ECA2_0016_04_p1.corems,47739,1742,27.4047072330654
ECA2_0016_05_p1.corems,54000,1968,27.4390243902439
ECA2_0016_06_p1.corems,50146,1845,27.1794037940379
ECA2_0016_07_p1.corems,46851,1758,26.6501706484642
ECA2_0016_08_p1.corems,53979,1971,27.3866057838661
ECA2_0016_09_p1.corems,48816,1759,27.7521318931211
ECA2_0016_10_p1.corems,43268,1644,26.3187347931873
ECA2_0017_01_p1.corems,19733,1063,18.5634995296331
ECA2_0017_02_p1.corems,26095,1363,19.1452677916361
ECA2_0017_03_p1.corems,34472,1664,20.7163461538462
ECA2_0017_04_p1.corems,23120,1298,17.8120184899846
ECA2_0017_05_p1.corems,20614,1171,17.6037574722459
ECA2_0017_06_p1.corems,18881,936,20.1720085470085
ECA2_0017_07_p1.corems,32970,1602,20.5805243445693
ECA2_0017_08_p1.corems,25899,1200,21.5825
ECA2_0017_09_p1.corems,23502,1259,18.6671961874504
ECA2_0017_10_p1.corems,12841,705,18.2141843971631
ECA2_0018_01_p1.corems,61397,2366,25.9497041420118
ECA2_0018_02_p1.corems,60610,2314,26.1927398444252
ECA2_0018_03_p1.corems,49241,1881,26.1780967570441
ECA2_0018_04_p1.corems,58426,2246,26.013357079252
ECA2_0018_05_p1.corems,50531,2078,24.3171318575553
ECA2_0018_06_p1.corems,55298,2154,25.6722376973073
ECA2_0018_07_p1.corems,58401,2277,25.6482213438735
ECA2_0018_09_p1.corems,43280,1750,24.7314285714286
ECA2_0018_10_p1.corems,25309,1207,20.9685169842585
ECA2_0019_01_p1.corems,39198,1845,21.2455284552846
ECA2_0019_02_p1.corems,28976,1505,19.2531561461794
ECA2_0019_04_p1.corems,37086,1843,20.1226261530114
ECA2_0019_05_p1.corems,27793,1397,19.8947745168218
ECA2_0019_07_p1.corems,25917,1462,17.7270861833105
ECA2_0019_08_p1.corems,34903,1694,20.6038961038961
ECA2_0019_09_p1.corems,22808,1217,18.7411668036154
ECA2_0019_10_p1.corems,22550,1192,18.9177852348993
ECA2_0021_01_p15.corems,25595,1208,21.1879139072848
ECA2_0021_02_p15.corems,29985,1271,23.5916601101495
ECA2_0021_03_p15.corems,27193,1181,23.0254022015241
ECA2_0021_04_p15.corems,37028,1478,25.0527740189445
ECA2_0021_05_p15.corems,28079,1204,23.3214285714286
ECA2_0021_06_p15.corems,42036,1687,24.9176052163604
ECA2_0021_07_p15.corems,56628,2066,27.4094869312682
ECA2_0021_08_p15.corems,47793,1774,26.9408117249154
ECA2_0021_09_p15.corems,44891,1672,26.8486842105263
ECA2_0021_10_p15.corems,44729,1644,27.2074209245742
ECA2_0022_01_p1.corems,44737,2064,21.6749031007752
ECA2_0022_02_p1.corems,41765,2103,19.8597242035188
ECA2_0022_03_p1.corems,46385,2093,22.1619684663163
ECA2_0022_04_p1.corems,41451,1595,25.9880877742947
ECA2_0022_05_p1.corems,43741,1660,26.35
ECA2_0022_06_p1.corems,46252,1817,25.4551458447991
ECA2_0022_07_p1.corems,43445,2061,21.0795730228045
ECA2_0022_08_p1.corems,39848,2000,19.924
ECA2_0022_09_p1.corems,59979,2573,23.3109211037699
ECA2_0022_10_p1.corems,42537,2036,20.8924361493124
ECA2_0023_01_p1.corems,25432,1322,19.2375189107413
ECA2_0023_02_p1.corems,32095,1582,20.287610619469
ECA2_0023_03_p1.corems,18730,1071,17.4883286647993
ECA2_0023_05_p1.corems,19763,1150,17.1852173913043
ECA2_0023_08_p1.corems,30406,1546,19.6675291073739
ECA2_0023_09_p1.corems,35807,1636,21.8869193154034
ECA2_0023_10_p15.corems,18102,1220,14.8377049180328
ECA2_0024_01_p1.corems,28486,1480,19.2472972972973
ECA2_0024_05_p1.corems,28699,1431,20.0552061495458
ECA2_0024_06_p1.corems,38898,1860,20.9129032258065
ECA2_0024_07_p1.corems,34455,1703,20.2319436288902
ECA2_0024_08_p1.corems,24054,1244,19.3360128617363
ECA2_0024_09_p1.corems,28686,1552,18.4832474226804
ECA2_0024_10_p1.corems,30572,1579,19.3616212792907
ECA2_0026_01_p1.corems,58929,2460,23.9548780487805
ECA2_0026_02_p1.corems,42256,1911,22.1119832548404
ECA2_0026_03_p1.corems,39267,1817,21.610897083104
ECA2_0026_04_p1.corems,36434,1737,20.9752446747265
